month,기후지형유형,dtr_z,press_diff_z,press_z,temp_z
1,고지·산간형,0.2021122426174336,-0.046878298273121385,1.075925117827939,0.5265885758203442
1,영동 해안형,0.1544475444330388,-0.022648053518238447,0.024107970934298558,-0.16920416636956714
1,영서 내륙형,0.48708116326342277,0.00253848269052723,0.08283475013322363,0.3293634412776321
2,고지·산간형,-0.2753792330557361,-0.22499715465182296,-0.6789561399281483,-0.14907902929729644
2,영동 해안형,0.13273627248315575,-0.28322965505580044,-0.4752786553394636,-0.22521366326916822
2,영서 내륙형,-0.1407407409874801,-0.14772304860163826,0.10783574852998712,-0.3719131369848948
3,고지·산간형,0.6660528339258454,-0.46185835426982513,-0.12461773148692319,0.9007429387143407
3,영동 해안형,-0.022948272283180533,-0.03005645912526798,-0.16157620839755538,0.4744023962657304
3,영서 내륙형,0.6862518469876234,-0.2338698212492099,0.22098819906835449,0.40019151984115736
4,고지·산간형,0.3791755358039156,-0.22311717411891444,0.23217134938413903,0.4051368197760713
4,영동 해안형,0.09800172528216897,-0.04243342137717041,0.03276581620952338,-0.17792670778563147
4,영서 내륙형,0.3217926222328121,-0.28567020948863286,0.14336489874224764,0.2620323155844163
5,고지·산간형,0.35766920977746286,-0.24019273026239993,-0.07996044670898834,0.7174339566179104
5,영동 해안형,0.4576772414341536,-0.6504382007724493,-0.23684102331877785,0.47546747722008154
5,영서 내륙형,0.5752233127863958,-0.3496408874190112,0.501209617646201,0.6517703368978965
6,고지·산간형,0.8054700709414675,-0.5210713192000586,0.2186994573967506,-0.05868788697118125
6,영동 해안형,0.2447066359009268,0.012263996127036245,0.16795147574006636,0.1975768201155012
6,영서 내륙형,0.7169995508488891,-0.22735158592805893,0.680005654485586,0.7303470922772627
7,고지·산간형,1.4258264330096146,-1.7198804687576574,-1.6004544149633908,-0.43121412675454407
7,영서 내륙형,0.8041877496124453,0.3496830671196726,-0.14109092267280235,0.6667129782572055
8,영서 내륙형,-1.4191736433874167,0.34498394811399224,-0.21473456133213495,-0.9926199209782703
9,고지·산간형,-0.11619454707717905,1.008728960627165,-0.4521708077764499,0.5311353993996608
9,영동 해안형,-0.9739709442567422,4.9277285195737885,-1.9094565928559846,2.6734823219508392
9,영서 내륙형,-0.9575461386981845,-0.48338738744275905,-0.8002644361760916,1.1948198963779686
10,고지·산간형,1.0905255573033577,-0.3994820265743046,0.8142357312438785,-0.2981562575345455
10,영동 해안형,-0.048435319700817665,0.06514858175134802,0.6731901850483154,-0.20599571048390958
10,영서 내륙형,0.36186711381521297,-0.18496534341130588,0.3413358159070492,-0.4079587426644065
11,고지·산간형,-1.2246928149750542,-1.1285937183244497,-0.5272408718330434,0.8888464790332182
11,영동 해안형,-0.48520349187443773,-0.00921208951612687,-0.3270653521133051,-0.17522258527030893
11,영서 내륙형,0.6210085753918678,-0.11389301073086588,0.33097383148435544,0.012657640669031033
12,고지·산간형,-0.6824738396712405,0.34210918548057995,-0.13001024536475747,1.1310812477896883
12,영동 해안형,-0.37941716266006614,0.1696882351861464,0.272765578270954,-0.33433075986736743
12,영서 내륙형,-0.5215304193954621,0.07273883438095878,-0.3084604152628268,0.588537302382574
