고도구간,평균기온_C,평균_일최저기온_C,평균_일교차_C,평균습도_pct,평균풍속_m_s,연평균강수량_mm,셀_수
"(0, 100]",12.45311483508132,8.647067943456452,7.86983242134063,67.18457164842681,2.2744766491868065,1617.8629166666667,12
"(100, 200]",12.085876842985257,7.732702918376653,9.35499772001824,70.29705963102295,1.8956299399604803,1463.8825,12
"(200, 300]",10.380804890560876,5.817917920656635,10.034682626538988,71.940011000912,1.4372817487460101,1303.845,20
"(300, 400]",10.611373879008967,5.577700258397933,10.965712114303086,74.34122473020216,1.3853886735572782,1337.51,9
"(400, 500]",10.486044915640674,5.322054719562243,11.092675786593707,73.4096778385773,1.3724073187414503,1353.946,5
"(500, 600]",9.597817976027622,4.737846394371702,10.485053742427203,74.61684605237443,1.9799662074131976,1466.4107142857142,7
"(600, 700]",9.784740398743477,5.216335309317525,9.882409180726555,71.85291641333535,1.8055578355373154,1236.085,9
"(700, 800]",9.23816904798095,4.857008663930689,9.360636874905001,73.47719568576785,2.1296913158028072,1583.638888888889,9
"(800, 900]",8.349206851345189,5.072517099863202,7.250670314637483,74.11174361605109,2.891971044231646,1564.32,2
"(900, 1000]",8.66515332877337,5.292982216142271,7.352178522571819,69.61256982444141,3.1642722583219336,1679.2237499999999,4
"(1000, 1100]",9.79393239854081,6.16389876880985,7.681901504787962,76.92530152758778,2.827238372093023,1215.38,1
"(1100, 1200]",8.464193456452348,4.938994528043775,7.468166894664843,73.49660567715458,3.1197229822161425,1703.295,2
