고도구간,변수,N_셀,평균,표준편차,중앙값
"(-0.001, 200.0]",평균기온_C,24,12.269495839033288,0.871198147600906,12.475504445964432
"(-0.001, 200.0]",평균_일최저기온_C,24,8.189885430916553,1.3085663067717188,8.385225718194254
"(-0.001, 200.0]",평균_일교차_C,24,8.612415070679434,1.5989415425410411,7.908522571819425
"(-0.001, 200.0]",평균습도_pct,24,68.74081563972489,4.1059222205036,68.0737115253078
"(-0.001, 200.0]",평균풍속_m_s,24,2.0850532945736435,0.5627458626659475,2.1539184336525308
"(-0.001, 200.0]",연평균강수량_mm,24,1540.8727083333333,264.3427824072832,1485.4650000000001
"(200.0, 400.0]",평균기온_C,28,10.845908776301219,0.9390719733278012,10.81859638622891
"(200.0, 400.0]",평균_일최저기온_C,28,5.990576021106117,1.5460686061146431,5.6330574555403565
"(200.0, 400.0]",평균_일교차_C,28,10.64466191127614,1.7764830715855422,10.957619699042407
"(200.0, 400.0]",평균습도_pct,28,72.39387873754153,5.141139833714632,72.9863012995896
"(200.0, 400.0]",평균풍속_m_s,28,1.466577645593121,0.5654025572240837,1.3669265845873233
"(200.0, 400.0]",연평균강수량_mm,28,1356.315892857143,296.2892964312563,1321.1100000000001
"(400.0, 600.0]",평균기온_C,12,9.967912534199726,0.9031854895834572,10.024960955312357
"(400.0, 600.0]",평균_일최저기온_C,12,4.981266529867761,0.8029948856894596,5.0634883720930235
"(400.0, 600.0]",평균_일교차_C,12,10.738229594163245,1.4590180001858313,10.904801641586868
"(400.0, 600.0]",평균습도_pct,12,74.11385929662562,4.004843266893996,74.09664700182398
"(400.0, 600.0]",평균풍속_m_s,12,1.7268166704666363,0.6037823809761028,1.526265389876881
"(400.0, 600.0]",연평균강수량_mm,12,1419.5504166666667,370.8116259299465,1340.27
"(600.0, 800.0]",평균기온_C,18,9.511454723362213,0.8846476957890842,9.23219163246694
"(600.0, 800.0]",평균_일최저기온_C,18,5.036671986624107,1.1799873253401276,5.092708618331054
"(600.0, 800.0]",평균_일교차_C,18,9.621523027815776,1.7191834361572687,10.357838577291382
"(600.0, 800.0]",평균습도_pct,18,72.66505604955161,3.4459637163825647,72.5486402758778
"(600.0, 800.0]",평균풍속_m_s,18,1.9676245756700612,0.6165230436086684,1.7569243046055631
"(600.0, 800.0]",연평균강수량_mm,18,1409.8619444444444,371.91169056621527,1325.565
"(800.0, 1000.0]",평균기온_C,6,8.55983783629731,1.2902353313532253,8.841119186046512
"(800.0, 1000.0]",평균_일최저기온_C,6,5.219493844049247,1.231495641747078,5.6010465116279065
"(800.0, 1000.0]",평균_일교차_C,6,7.318342453260374,0.3451207464693597,7.265786593707251
"(800.0, 1000.0]",평균습도_pct,6,71.11229442164463,4.380420442576939,72.29386000911992
"(800.0, 1000.0]",평균풍속_m_s,6,3.073505186958504,1.1457405074621512,2.9349484154126766
"(800.0, 1000.0]",연평균강수량_mm,6,1640.9225,523.967394841988,1456.9724999999999
"(1000.0, 1200.0]",평균기온_C,3,8.907439770481835,1.0843135338928138,9.229917920656634
"(1000.0, 1200.0]",평균_일최저기온_C,3,5.347295941632467,0.7346735943474395,5.138030095759234
"(1000.0, 1200.0]",평균_일교차_C,3,7.539411764705882,1.096364757606146,7.681901504787962
"(1000.0, 1200.0]",평균습도_pct,3,74.63950429396564,3.1907475397930334,75.99904810761514
"(1000.0, 1200.0]",평균풍속_m_s,3,3.0222281121751027,0.6005212715025732,2.827238372093023
"(1000.0, 1200.0]",연평균강수량_mm,3,1540.6566666666668,540.5742992719255,1241.92
