기후지형유형,월,평균기온,평균상대습도,일강수량,최대순간풍속,일교차,서풍계열_비율
고지·산간형,1,-3.0228014237355634,65.74795474910394,1.6501851851851852,4.513751493428913,8.684569892473117,0.34211967343687777
고지·산간형,2,-0.17925438596491228,63.102514349144464,1.0112215724496425,4.920097465886939,9.581221572449643,0.37324019926359103
고지·산간형,3,4.617865890083632,65.4695365392274,2.0739187574671445,4.590191158900836,10.640698924731183,0.294305057745918
고지·산간형,4,8.015826131687243,61.37594727366255,2.4656975308641975,4.87437037037037,10.988975308641974,0.27960390946502056
고지·산간형,5,13.62278375149343,72.0509309040223,4.810465949820789,4.452252090800478,9.845728793309439,0.31100657108721624
고지·산간형,6,18.776513631687244,76.82973482510288,3.928432098765432,3.763654320987654,8.969932098765431,0.2519804526748971
고지·산간형,7,20.617225955794506,83.99721973317403,8.472568697729988,3.2197252090800474,7.773488649940263,0.1597968936678614
고지·산간형,8,21.473964555953803,86.56180680007964,11.256827956989248,3.6402389486260454,5.935663082437276,0.27399442453205897
고지·산간형,9,16.363471707818928,84.46652880658436,10.777148148148148,3.6687283950617284,7.097820987654321,0.19269547325102881
고지·산간형,10,10.281611409796893,76.8949191059339,1.518679808841099,3.585615292712067,9.97910394265233,0.2523645957785743
고지·산간형,11,4.82226774691358,66.46684387860083,1.1322654320987655,4.733253086419753,9.629746913580247,0.39300411522633744
고지·산간형,12,-2.527018866985265,62.22115890083632,0.29891278375149344,4.855985663082437,8.920071684587814,0.43725109518120275
영동 해안형,1,1.1286965565796212,55.21745967741936,1.8504224270353302,4.314500768049155,7.476044546850998,0.590789810547875
영동 해안형,2,3.564415204678362,57.118488930659986,1.1364243943191312,4.586499582289056,8.511528822055137,0.545286828181565
영동 해안형,3,7.631165834613415,64.06008352534562,2.2992242703533026,4.431282642089093,8.86099846390169,0.43100358422939067
영동 해안형,4,11.112588955026455,59.96592658730159,2.602547619047619,4.651174603174603,8.91754761904762,0.41041666666666665
영동 해안형,5,16.16592261904762,69.20691884280595,4.639147465437788,4.296705069124425,8.080130568356374,0.3854646697388633
영동 해안형,6,20.535311838624338,77.9845968915344,4.510785714285714,3.723,6.897325396825396,0.27232142857142855
영동 해안형,7,22.389473886328727,85.80511168714797,9.36005376344086,3.2447926267281106,5.829992319508448,0.23079877112135178
영동 해안형,8,23.702999551971327,84.69412986431131,10.525568356374807,3.291943164362519,5.5453533026113675,0.33950972862263185
영동 해안형,9,19.139900793650796,82.58622585978836,11.512571428571428,3.5874841269841267,6.43431746031746,0.3619378306878307
영동 해안형,10,13.777224782386073,72.40770961341526,3.0576958525345623,3.3847926267281108,8.410391705069124,0.47731054787506405
영동 해안형,11,9.002141203703703,56.427275132275135,0.6145396825396825,4.195055555555556,8.706126984126984,0.5897156084656084
영동 해안형,12,1.7942972350230415,47.89018369175627,0.4838709677419355,4.5138786482334865,8.473701996927803,0.6772593445980543
영서 내륙형,1,-3.6204837182306937,70.08208226417399,1.411198680351906,3.2101612903225805,10.80566715542522,0.21642839687194523
영서 내륙형,2,-0.249657927963849,66.21559360047847,0.8872886762360447,3.5133452950558213,11.458644338118022,0.2740231259968102
영서 내륙형,3,5.378320045210166,65.48039085410558,1.7991312316715542,3.613013196480938,12.975256598240469,0.25371151026392963
영서 내륙형,4,9.46027840909091,60.26916792929293,2.1338787878787877,4.066462121212121,13.448969696969696,0.24641729797979797
영서 내륙형,5,14.793520741691106,74.23325696480939,4.8740872434017595,3.437041788856305,11.12491935483871,0.2344971896383187
영서 내륙형,6,20.362540088383838,76.07429024621212,2.8735719696969695,3.041784090909091,10.392280303030303,0.2118371212121212
영서 내륙형,7,22.703196480938416,80.92846285434996,5.378603372434018,2.7550696480938415,8.874538123167156,0.16347446236559138
영서 내륙형,8,22.867153592375367,85.423415200391,14.633482404692082,2.8942815249266864,6.87100073313783,0.16665139296187684
영서 내륙형,9,17.892816761363637,82.10601309974747,5.015060606060606,3.0740075757575758,9.150560606060607,0.15730744949494951
영서 내륙형,10,10.823137524437927,78.81148994990225,1.4757111436950145,2.910388563049853,11.801444281524926,0.18621700879765396
영서 내륙형,11,4.638655934343435,72.21728882575758,1.9043409090909091,3.37894696969697,11.179651515151514,0.2641887626262626
영서 내륙형,12,-3.220798814760508,69.1217987842131,0.16565249266862173,3.327510997067449,10.366290322580646,0.2693212365591398
