기후지형유형,계절,N_셀,평균,표준편차,중앙값
고지·산간형,가을,27,70.67639404494334,3.2606430717427677,70.164574656568
고지·산간형,겨울,27,77.06469692899087,2.419885914052047,77.27747141496135
고지·산간형,봄,27,73.33639273676178,2.631108101914344,73.55400802400708
고지·산간형,여름,27,65.07399070228178,3.837536385696304,65.53414774980546
영동 해안형,가을,21,73.07578956214738,3.0509325034933776,74.07976963031793
영동 해안형,겨울,21,80.44720924200428,2.5700083033792693,80.37646590491491
영동 해안형,봄,21,73.97240005207266,3.075636165551553,74.42550940711696
영동 해안형,여름,21,65.88986743330403,4.3758565937508624,66.91175659471773
영서 내륙형,가을,44,72.9459945600508,3.162244657243936,73.95851584951183
영서 내륙형,겨울,44,76.50373335100336,2.1956602238305014,76.86367434053115
영서 내륙형,봄,44,74.24204695809175,3.532279484564645,75.09829397928524
영서 내륙형,여름,44,67.85310486984214,4.896950060960571,68.35898102607753
