기후지형유형,계절,1. 낮음,2. 보통,3. 높음,4. 매우높음
고지·산간형,가을,21.59137159137159,24.52177452177452,18.55921855921856,35.32763532763533
고지·산간형,겨울,6.097810517700021,17.556783302639655,23.368119500716187,52.97728667894413
고지·산간형,봄,8.856682769726248,25.76489533011272,35.970209339774556,29.40821256038647
고지·산간형,여름,29.247181964573272,26.469404186795494,22.020933977455716,22.262479871175522
영동 해안형,가을,16.82365253793825,24.411302982731552,17.791732077446362,40.97331240188383
영동 해안형,겨울,3.4990791896869244,14.811891607471717,19.468560905024994,62.22046829781637
영동 해안형,봄,9.316770186335404,20.574534161490686,38.87163561076605,31.237060041407865
영동 해안형,여름,28.234989648033128,26.319875776397517,22.489648033126294,22.955486542443065
영서 내륙형,가을,15.15984015984016,22.63986013986014,23.176823176823177,39.023476523476525
영서 내륙형,겨울,6.7302862882973375,16.61225514816675,25.8789552988448,50.77850326469111
영서 내륙형,봄,11.277173913043478,21.41798418972332,29.162549407114625,38.14229249011858
영서 내륙형,여름,23.023715415019762,23.888339920948617,27.729743083003953,25.358201581027668
