var1,var2,corr_raw_all,n_raw_all,corr_delta_all,n_delta_all,corr_raw_영동 해안형,n_raw_영동 해안형,corr_delta_영동 해안형,n_delta_영동 해안형,corr_raw_영서 내륙형,n_raw_영서 내륙형,corr_delta_영서 내륙형,n_delta_영서 내륙형,corr_raw_고지·산간형,n_raw_고지·산간형,corr_delta_고지·산간형,n_delta_고지·산간형
직전24h_최소습도,직전24h_평균습도,,0,0.7605018092092828,1150,,0,0.8743329521470301,354,,0,0.7114117133232443,615,,0,0.6358785319038981,181
직전24h_최소습도,직전24h_평균풍속,,0,-0.20516074381162167,1150,,0,-0.5697821246096668,354,,0,0.05537186504457293,615,,0,-0.13406499001529149,181
직전24h_평균습도,직전24h_평균풍속,,0,-0.4879666567056826,1150,,0,-0.7031465389451242,354,,0,-0.3022399463660191,615,,0,-0.44915912816465303,181
직전24h_최대풍속,직전24h_최소습도,,0,-0.14594416759015602,1150,,0,-0.38993410499388104,354,,0,0.038204702016972236,615,,0,-0.17672150572508352,181
직전24h_최대풍속,직전24h_평균습도,,0,-0.3374165790068537,1150,,0,-0.4589111093679619,354,,0,-0.2116623602519864,615,,0,-0.40389028754014095,181
직전24h_최대풍속,직전24h_평균풍속,,0,0.8349190799933824,1150,,0,0.8109337845718396,354,,0,0.8358181441723587,615,,0,0.8846483097569469,181
직전24h_강수량합,직전24h_최소습도,,0,0.24608983201522436,1150,,0,0.21274790706570604,354,,0,0.3223276179700179,615,,0,0.16756702281448382,181
직전24h_강수량합,직전24h_평균습도,,0,0.240250794804468,1150,,0,0.19293247042139078,354,,0,0.3189784277894349,615,,0,0.20375085899243597,181
직전24h_강수량합,직전24h_평균풍속,,0,0.041053536605125326,1150,,0,-0.04337701014043997,354,,0,0.06332867634708553,615,,0,0.07807642069073735,181
직전24h_강수량합,직전24h_최대풍속,,0,0.027230418491380595,1150,,0,-0.04507987714675537,354,,0,0.04930295004193665,615,,0,0.0488144128476173,181
D-1_최소습도_pct,직전24h_최소습도,,0,0.7632532081531435,1149,,0,0.7859523907608287,353,,0,0.766432125440927,615,,0,0.673460786751344,181
D-1_최소습도_pct,직전24h_평균습도,,0,0.6927600786470026,1149,,0,0.7679685907897951,353,,0,0.6718142424707325,615,,0,0.5734530592777093,181
D-1_최소습도_pct,직전24h_평균풍속,,0,-0.11675992594253969,1149,,0,-0.43433349742893057,353,,0,0.13768249381828418,615,,0,-0.09820927147538261,181
D-1_최소습도_pct,직전24h_최대풍속,,0,-0.0685095872332142,1149,,0,-0.28485068428059795,353,,0,0.10363549375168853,615,,0,-0.09108396331713244,181
D-1_최소습도_pct,직전24h_강수량합,,0,0.18766011697386573,1149,,0,0.20972028815103558,353,,0,0.27153826422667615,615,,0,0.0016100383656714452,181
D-1_최소습도_pct,FFMC,,0,-0.4588229762825478,1149,,0,-0.5078770308958791,353,,0,-0.4838664570330602,615,,0,-0.31786516745959104,181
D-1_최소습도_pct,DMC,,0,-0.17915471067280503,1149,,0,-0.11398927049559762,353,,0,-0.28416332876164513,615,,0,-0.11113224825582084,181
D-1_최소습도_pct,DC,,0,-0.08920912018957881,1149,,0,0.03947944106204478,353,,0,-0.2099911079837425,615,,0,-0.008444176857191992,181
D-1_최소습도_pct,ISI,,0,-0.4646799855493837,1149,,0,-0.5754003819484894,353,,0,-0.4293845559104397,615,,0,-0.30448198871683146,181
D-1_최소습도_pct,FWI,,0,-0.4378181540382574,1149,,0,-0.5497199019491545,353,,0,-0.3932498429050574,615,,0,-0.31741589093140526,181
D-1_강수량합_mm,직전24h_최소습도,,0,0.2671058346519317,1149,,0,0.2424109845894937,353,,0,0.28818399352425483,615,,0,0.24527421830995114,181
D-1_강수량합_mm,직전24h_평균습도,,0,0.2210775757139581,1149,,0,0.20887726087702038,353,,0,0.21610960726111958,615,,0,0.2769396752714946,181
D-1_강수량합_mm,직전24h_평균풍속,,0,0.08720747687666719,1149,,0,-0.05573642541205585,353,,0,0.20345071229895262,615,,0,0.02505113756121226,181
D-1_강수량합_mm,직전24h_최대풍속,,0,0.055503666021748076,1149,,0,-0.04249333360441673,353,,0,0.1284198710492785,615,,0,-0.025791148968135478,181
D-1_강수량합_mm,직전24h_강수량합,,0,0.6245853934108486,1149,,0,0.6505161422456386,353,,0,0.619130038665735,615,,0,0.6236288118624208,181
D-1_강수량합_mm,D-1_최소습도_pct,,0,0.3564210749660769,1149,,0,0.32570923252666667,353,,0,0.4028645410258232,615,,0,0.29031071699494915,181
D-1_강수량합_mm,FFMC,,0,-0.6336415093301263,1149,,0,-0.5964886458570373,353,,0,-0.6535097393326919,615,,0,-0.6123491959812271,181
D-1_강수량합_mm,DMC,,0,-0.2883250588993812,1149,,0,-0.2689216235028414,353,,0,-0.32107490027219526,615,,0,-0.24118781568280562,181
D-1_강수량합_mm,DC,,0,-0.2230442008826642,1149,,0,-0.10968006329119731,353,,0,-0.2941531766855471,615,,0,-0.19969195742933715,181
D-1_강수량합_mm,ISI,,0,-0.3891273309174303,1149,,0,-0.2773482607342585,353,,0,-0.47208675288930924,615,,0,-0.3391747042892895,181
D-1_강수량합_mm,FWI,,0,-0.369533742669673,1149,,0,-0.29606903785874705,353,,0,-0.4320276906990395,615,,0,-0.31357672845885265,181
FFMC,직전24h_최소습도,,0,-0.4378247243127699,1150,,0,-0.4347967808020208,354,,0,-0.4591480456068949,615,,0,-0.4097583829326019,181
FFMC,직전24h_평균습도,,0,-0.3832547708982808,1150,,0,-0.4145697744145164,354,,0,-0.41066432707143125,615,,0,-0.27922249087694956,181
FFMC,직전24h_평균풍속,,0,-0.050828974797796495,1150,,0,0.21258390472438637,354,,0,-0.19643476717461447,615,,0,-0.08882797365274482,181
FFMC,직전24h_최대풍속,,0,-0.024694940639528293,1150,,0,0.1995362054529643,354,,0,-0.14390947406777682,615,,0,-0.022234151223263145,181
FFMC,직전24h_강수량합,,0,-0.5837053932064572,1150,,0,-0.5798435562474958,354,,0,-0.5994197159109437,615,,0,-0.5513495573184558,181
FFMC,ISI,,0,0.7703391258166822,1150,,0,0.6930648985010771,354,,0,0.8180542339100183,615,,0,0.7986333514460308,181
FFMC,FWI,,0,0.7340456049366337,1150,,0,0.6928503879584115,354,,0,0.7608060305676654,615,,0,0.7638225684209674,181
DMC,직전24h_최소습도,,0,-0.15376998700178102,1150,,0,0.031036789279570633,354,,0,-0.3051478627205312,615,,0,-0.15664034930185536,181
DMC,직전24h_평균습도,,0,-0.10543926967383815,1150,,0,0.012618919885976392,354,,0,-0.2660030808432859,615,,0,-0.0033715892003978952,181
DMC,직전24h_평균풍속,,0,-0.15579200914635277,1150,,0,-0.041650191223349196,354,,0,-0.1981605091823712,615,,0,-0.1642860467614049,181
DMC,직전24h_최대풍속,,0,-0.1397252524388142,1150,,0,-0.03750823941677482,354,,0,-0.17918658481158484,615,,0,-0.10798134892468791,181
DMC,직전24h_강수량합,,0,-0.2388588427886318,1150,,0,-0.1748913730658961,354,,0,-0.23723126235812944,615,,0,-0.3786422770651267,181
DMC,FFMC,,0,0.524087942147498,1150,,0,0.42171961172780265,354,,0,0.5851398177254983,615,,0,0.5422681257346332,181
DMC,ISI,,0,0.44445981806324214,1150,,0,0.2565954552979505,354,,0,0.5861324932099542,615,,0,0.5039511503340113,181
DMC,FWI,,0,0.6114083733474699,1150,,0,0.4234554429412777,354,,0,0.7547178557115864,615,,0,0.6784928811498694,181
DC,직전24h_최소습도,,0,-0.05481964084558941,1150,,0,0.14989649450096523,354,,0,-0.1957410096869117,615,,0,-0.057431388074530555,181
DC,직전24h_평균습도,,0,-0.028305580430679555,1150,,0,0.14001128142690203,354,,0,-0.19901508785943908,615,,0,0.07933353436062299,181
DC,직전24h_평균풍속,,0,-0.14297292678810217,1150,,0,-0.09420215613119519,354,,0,-0.14260054081569903,615,,0,-0.1438075887068873,181
DC,직전24h_최대풍속,,0,-0.12913012478762662,1150,,0,-0.09753037219479785,354,,0,-0.12398039858047107,615,,0,-0.10754219057066063,181
DC,직전24h_강수량합,,0,-0.1361446243026336,1150,,0,-0.02697322218028015,354,,0,-0.15257598240592238,615,,0,-0.31551108373756515,181
DC,FFMC,,0,0.38065104152746454,1150,,0,0.18412283981065058,354,,0,0.47702509841627766,615,,0,0.40457108048371165,181
DC,DMC,,0,0.8111531226708244,1150,,0,0.760591373795832,354,,0,0.8186827759303379,615,,0,0.8552035100216948,181
DC,ISI,,0,0.3050235164530404,1150,,0,0.05589415334749848,354,,0,0.47046880211519243,615,,0,0.3420073634729883,181
DC,FWI,,0,0.4474215024946037,1150,,0,0.1947307144432504,354,,0,0.6094939903220601,615,,0,0.5146831819472628,181
ISI,직전24h_최소습도,,0,-0.4952948156026543,1150,,0,-0.5675627661051066,354,,0,-0.470990429196094,615,,0,-0.40876269152408257,181
ISI,직전24h_평균습도,,0,-0.5067303562109929,1150,,0,-0.6236460129163203,354,,0,-0.47963968802639717,615,,0,-0.3255727119982986,181
ISI,직전24h_평균풍속,,0,0.19058419586857517,1150,,0,0.5180489369189077,354,,0,-0.030581800811334946,615,,0,0.09136374744067872,181
ISI,직전24h_최대풍속,,0,0.18791248365996163,1150,,0,0.4431961234452813,354,,0,0.008654057743227483,615,,0,0.17298884042576787,181
ISI,직전24h_강수량합,,0,-0.33249724676748565,1150,,0,-0.24229691082449586,354,,0,-0.41110497077705793,615,,0,-0.3259200410119952,181
BUI,직전24h_최소습도,,0,-0.14864280795379237,1150,,0,0.0544351955050837,354,,0,-0.2978734007441663,615,,0,-0.15349744373321197,181
BUI,직전24h_평균습도,,0,-0.10212338901154312,1150,,0,0.03498751383041652,354,,0,-0.26157767354106465,615,,0,-0.0073968538580157905,181
BUI,직전24h_평균풍속,,0,-0.16066379804334344,1150,,0,-0.05678710832825252,354,,0,-0.20199738926141275,615,,0,-0.15636099075374693,181
BUI,직전24h_최대풍속,,0,-0.14499914700001512,1150,,0,-0.05957604679900828,354,,0,-0.1816494704767591,615,,0,-0.099554365578284,181
BUI,직전24h_강수량합,,0,-0.23550164819358035,1150,,0,-0.14429928728488278,354,,0,-0.2459096688862595,615,,0,-0.3761078466129948,181
BUI,D-1_최소습도_pct,,0,-0.18023689905281398,1149,,0,-0.10053752554104178,353,,0,-0.2827043660505741,615,,0,-0.1120388968434834,181
BUI,D-1_강수량합_mm,,0,-0.2964583413986558,1149,,0,-0.23879849689223062,353,,0,-0.33814126218598817,615,,0,-0.2613665844141753,181
BUI,FFMC,,0,0.5286717782362362,1150,,0,0.3993055593125708,354,,0,0.5938317899216599,615,,0,0.5435775023994973,181
BUI,DMC,,0,0.9886918581122766,1150,,0,0.9854046269355993,354,,0,0.9907173331870958,615,,0,0.9864792118641323,181
BUI,DC,,0,0.8551370537680202,1150,,0,0.8316189594095754,354,,0,0.8542156579868089,615,,0,0.8920502379950135,181
BUI,ISI,,0,0.44936279701227594,1150,,0,0.24048525368509094,354,,0,0.5927885572199311,615,,0,0.499695170231679,181
BUI,FWI,,0,0.6150688191835284,1150,,0,0.4072949273802014,354,,0,0.7589449033765827,615,,0,0.6749290290527665,181
FWI,직전24h_최소습도,,0,-0.4514846390969005,1150,,0,-0.4967781171789068,354,,0,-0.43591344402982685,615,,0,-0.4105476505125258,181
FWI,직전24h_평균습도,,0,-0.4685808874119671,1150,,0,-0.5599177556801832,354,,0,-0.4547389707214278,615,,0,-0.3031474052591959,181
FWI,직전24h_평균풍속,,0,0.14775435420595343,1150,,0,0.4616059109123507,354,,0,-0.06772254892242328,615,,0,0.05310250303949872,181
FWI,직전24h_최대풍속,,0,0.13980344664145775,1150,,0,0.38656574210948497,354,,0,-0.036004517237584285,615,,0,0.1311473916895038,181
FWI,직전24h_강수량합,,0,-0.3100242876441078,1150,,0,-0.23847211894987377,354,,0,-0.37056811903957243,615,,0,-0.3275310972355084,181
FWI,ISI,,0,0.9488745499912533,1150,,0,0.9511654441639608,354,,0,0.9437668101124437,615,,0,0.9526863963523658,181
